id,group_name,scientific_name,synonyms,disease_name
1,ASCOMYCOTA,Alternaria alternata,,Elmada Alternarya meyve çürüklüğü
2,ASCOMYCOTA,Alternaria alternata f.sp. citri,,Turunçgilde kahverengi leke
3,ASCOMYCOTA,Alternaria alternata f.sp. lycopersici,,Domateste Alternaria gövde kanseri
4,ASCOMYCOTA,Alternaria cucumerina,,Kabakgillerde Alternaria yaprak yanıklığı
5,ASCOMYCOTA,Alternaria dauci,,Havuçta yaprak yanıklığı
6,ASCOMYCOTA,Alternaria dianthi,,Karanfil yaprak lekesi
7,ASCOMYCOTA,Alternariaster helianthi,= Alternaria helianthi,Ayçiçeği bitkisinde yaprak lekesi ve yanıklık
8,ASCOMYCOTA,Alternaria porri,,Soğan mor leke hastalığı
9,ASCOMYCOTA,Alternaria radicina,,Havuçta siyah çürüklük
10,ASCOMYCOTA,Alternaria solani,,Patlıcangillerde erken yaprak yanıklığı
11,ASCOMYCOTA,Anisogramma anomala,,Fındıkta Doğu filbert yanıklığı
12,ASCOMYCOTA,Apiosporina morbosa,,Sert çekirdeklilerde kara düğüm hastalığı
13,ASCOMYCOTA,Ascochyta fabae,,"Baklada yaprak, gövde ve meyve lekeleri"
14,ASCOMYCOTA,Ascochyta lentis,,Mercimekte antraknoz veya yaprak yanıklığı
15,ASCOMYCOTA,Ascochyta pisi,,Bezelye yaprak ve meyve lekesi
16,ASCOMYCOTA,Ascochyta rabiei,,Nohut antraknozu
17,ASCOMYCOTA,Aspergillus flavus,,Mısır ve yer fıstığında küflenme ve aflatoksin oluşumu
18,ASCOMYCOTA,Aspergillus niger,,Yer fıstığında kökboğazı çürüklüğü
19,ASCOMYCOTA,Aspergillus parasiticus,,Yer fıstığı küflenme ve çürüklüğü
20,ASCOMYCOTA,Berkeleyomyces basicola,,"Tütün, pamuk ve havuçta siyah kök çürüklüğü"
21,ASCOMYCOTA,Bipolaris maydis,= Cochliobolus heterostrophus,Mısırda güney yaprak yanıklığı
22,ASCOMYCOTA,Bipolaris oryzae,= Cochliobolus miyabeanus,Çeltik kahverengi yaprak lekesi (kınacık)
23,ASCOMYCOTA,Bipolaris sorokiniana,,Tahıllarda adi kök çürüklüğü/lekelenme
24,ASCOMYCOTA,Blumeria graminis,Erysiphe graminis,Tahıl küllemesi
25,ASCOMYCOTA,Blumeriella jaapii,,Kiraz ve vişnede yaprak lekesi
26,ASCOMYCOTA,Boeremia lycopersici,"= Didymella lycopersici, = Ascochyta lycopersici",Domateste gövde kanseri ve gövde çürüklüğü
27,ASCOMYCOTA,Botrytis allii,,Soğan boyun çürüklüğü
28,ASCOMYCOTA,Botrytis cinerea,,Kurşuni küf
29,ASCOMYCOTA,Botrytis fabae,,Baklada çikolata lekesi hastalığı
30,ASCOMYCOTA,Botrytis squamosa,,Soğan yaprak yanıklığı
31,ASCOMYCOTA,Botryosphaeria dothidea,,Odunsu bitkilerde kanser ve geriye ölüm
32,ASCOMYCOTA,Bretziella fagacearum,= Ceratocystis fagacearum,Meşe solgunluğu
33,ASCOMYCOTA,Ceratocystis platani,,Çınar kanseri
34,ASCOMYCOTA,Cercospora arachidicola,Mycosphaerella arachidis,Yer fıstığında serkospora erken yaprak lekesi
35,ASCOMYCOTA,Cercospora beticola,,Şeker pancarı yaprak lekesi
36,ASCOMYCOTA,Cercospora janseana,,Çeltikte dar kahverengi yaprak lekesi
37,ASCOMYCOTA,Cercospora malkoffii,,Anason yaprak lekesi
38,ASCOMYCOTA,Cercospora sojina,,Soya fasulyesinde kurbağa gözü yaprak lekesi
39,ASCOMYCOTA,Cercospora zeae-maydis,,Mısırda gri yaprak lekesi
40,ASCOMYCOTA,Cladobotryum dendroides,,Kültür mantarında örümcek ağı
41,ASCOMYCOTA,Cladosporium variabile,,Ispanak yaprak lekesi
42,ASCOMYCOTA,Claviceps purpurea,,Çavdar mahmuzu
43,ASCOMYCOTA,Colletotrichum acutatum,,Zeytinde ve çilekte antraknoz
44,ASCOMYCOTA,Colletotrichum coccodes,,Domateste antraknoz ve patateste siyah benek
45,ASCOMYCOTA,Colletotrichum dematium f. sp. spinaciae,,Ispanak antraknozu
46,ASCOMYCOTA,Colletotrichum fragariae,,Çilekte antraknoz
47,ASCOMYCOTA,Colletotrichum gloeosporioides,,Zeytinde antraknoz
48,ASCOMYCOTA,Colletotrichum lindemuthianum,,Fasulye antraknozu
49,ASCOMYCOTA,Colletotrichum orbiculare,,Kabakgillerde antraknoz
50,ASCOMYCOTA,Colletotrichum scovillei,,Biber antraknozu
51,ASCOMYCOTA,Colletotrichum truncatum,,Soya fasulyesi ve mercimekte antraknoz
52,ASCOMYCOTA,Coniella granati,,Narda taç çürüklüğü ve dal yanıklığı
53,ASCOMYCOTA,Corynespora cassiicola,,Domateste yaprak lekesi (hedef leke)
54,ASCOMYCOTA,Cryphonectria parasitica,,Kestane kanseri
